authors,year,exposure_type,epigenetic_marker,epigenetic_effect_size,population_size,country,pmid
Castano JP; Dattani MT; Grozinsky-Glasberg S; Karavitaki N; Pavel ME; Andoniadou C; Alexandraki K; Capatina C; Cerbone M; Ferone D; Gan HW; Hofland J; Hofland LJ; Ibanez-Costa A; Ilie MD; Isidori AM; Korbonits M; Kos-Kudła B; Maghnie M; Mantovani G; Marazuela M; Raverot G; Scarpa A; Schilbach K; Theodoropoulou M; van Santen HM; Zatelli MC,2025,nutritional,Other epigenetic marker,0.3,200,Unspecified,41104469
Eroglu B; Eichelmann F; Kuxhaus O; Kipp AP; Schwerdtle T; Haase H; Schomburg L; Schulze MB,2025,nutritional,DNA methylation,0.95,1030,Unspecified,41102856
Liu M; Song Y; Kang Y; Xue N; Zhao J; Jin Y; Liu C; Wang B,2025,nutritional,Other epigenetic marker,0.3,200,Unspecified,41098715
Shimogama T; Tahara T; Shijimaya T; Yamazaki J; Kobayashi S; Nakamura N; Takahashi Y; Tomiyama T; Honzawa Y; Fukui T; Naganuma M,2025,nutritional,DNA methylation,0.3,200,Unspecified,41035034
Tuminello S; Ashebir YA; Schroff C; Ramaswami S; Durmus N; Chen Y; Snuderl M; Shao Y; Reibman J; Arslan AA,2025,behavioural,DNA methylation,0.3,200,Unspecified,41028045
Sengupta A; Vinayagamurthy S; Soni D; Deb R; Mukherjee AK; Dutta S; Jaiswal J; Yadav M; Sharma S; Bagri S; Roy SS; Poonia P; Singh A; Khanna D; Bhatt AKK; Sharma A; Saurav S; Motiani RK; Chowdhury S,2025,behavioural,DNA methylation,0.3,200,Unspecified,41026782
Michailidis TM; Corveleyn L; Almey R; Bader Y; Odongo GA; Herceg Z; Khoueiry R; Saeger S; Boevre M; Dhaenens M,2025,nutritional,DNA methylation,0.3,200,Unspecified,41016387
Charmanna SO; Karunakara SH; Srinivasa S; Panchakshari PM; Prakash M; Mehtani R; Kumar DP; Santhekadur PK,2025,nutritional,miRNA,0.9,200,Unspecified,40961678
Jeon MS; Ding Z; Pei C; Li J; Xie L; Sauter E; Zhang KK,2025,nutritional,DNA methylation,0.3,200,Unspecified,40943642
Costantino S; Mohammed S; Mengozzi A; Duranti E; Delfine V; Geiger MA; Hamdani N; Taddei S; Masi S; Virdis A; Paneni F,2025,nutritional,Histone modification,0.3,200,Unspecified,40924347
Trujano-Camacho S; Pulido-Capiz Á; García-González V; López-Urrutia E; Pérez-Plasencia C,2025,nutritional,lncRNA,0.3,200,Unspecified,40869316
Yuan T; Tagscherer KE; Roth W; Bewerunge-Hudler M; Brobeil A; Kloor M; Bläker H; Brenner H; Hoffmeister M,2025,nutritional,DNA methylation,0.95,1757,Unspecified,40827617
Waqas A; Tripathi A; Ahmed S; Mukund A; Farooq H; Johnson JO; Stewart PA; Naeini M; Schabath MB; Rasool G,2025,nutritional,DNA methylation,0.998,200,Unspecified,40806487
Mäki-Nevala S; Kauppinen A; Olkinuora A; Laiho A; Törönen P; Renkonen-Sinisalo L; Lepistö A; Seppälä TT; Mecklin JP; Peltomäki P,2025,nutritional,DNA methylation,0.3,200,Unspecified,40753397
Vrana E; Timmins H; Osborne A; Cox R; Wasan H; Ma YT; Arora A; Faluyi O; Gillmore R; Corrie P; Miller P; Arif S; Canham J; Martin C; Riaz M; Shi T; Frizziero M; Foy V; Hubner RA; Morement H; Bridgewater J; Adams R; Valle JW; McNamara MG,2025,nutritional,Other epigenetic marker,0.3,200,Unspecified,40728861
Tsuboi Y; Yamada H; Fujii R; Yamazaki M; Munetsuna E; Ando Y; Mizuno G; Hattori Y; Okumiyama H; Murakami K; Ishikawa H; Ohashi K; Suzuki K,2025,behavioural,DNA methylation,0.3,795,Unspecified,40728511
Ren Y; Qin F; Shen L; Li L; Wu Q; Yi P,2025,nutritional,DNA methylation,0.95,200,Unspecified,40707893
Sutter C; Helbling D; Haas C; Neubauer J,2025,behavioural,DNA methylation,0.3,100,Unspecified,40689873
Tălăngescu A; Bratei AA; Tizu M; Calenic B; Constantinescu AE; Constantinescu I,2025,nutritional,Other epigenetic marker,0.3,204,Unspecified,40663089
Jung SY; Pellegrini M; Tan X; Yu H,2025,nutritional,DNA methylation,0.3,200,Unspecified,40632935
Li P; Zhu J; Wang S; Zhuang H; Zhang S; Huang Z; Cai F; Song Z; Liu Y; Liu W; Freidel S; Wang S; Schwarz E; Chen J,2025,nutritional,DNA methylation,0.3,615,Unspecified,40616903
Crujeiras AB; Martínez-Climent JÁ; Burgos M,2025,nutritional,Other epigenetic marker,0.3,200,Unspecified,40614037
Yuan T; Tagscherer KE; Roth W; Bewerunge-Hudler M; Brobeil A; Kloor M; Bläker H; Brenner H; Hoffmeister M,2025,behavioural,DNA methylation,0.3,2273,Unspecified,40611182
Alva V; Jain P; Khan K; Zameer F; Kumar P P; Prashanth Kv H; Gopal S; Niranjan V; Sahu B; H R; Av R; Hl R; Apturkar K D,2025,nutritional,miRNA,0.3,200,Unspecified,40609769
Nong J; Wang Y; Zhang Y,2025,nutritional,DNA methylation,0.95,529,Unspecified,40524240
You Q; Wu G; Li H; Liu J; Cao F; Ding L; Liang F; Zhou B; Ma L; Zhu L; Wang C; Yang Y; Chen X,2025,nutritional,Other epigenetic marker,0.3,200,Unspecified,40523938
Jiang Z; Runkel A; Lindh C; Kukka A; Catalán J; Pineda D; Lundh T; Vogel U; Saber AT; Tondel M; Engfeldt M; Krais AM; Broberg K; SafeChrom Project Team,2025,nutritional,DNA methylation,0.3,200,Unspecified,40516896
Chen XL; Zhao QQ; Lin SR; He XL; Zhang XJ; Li SJ; Li ZR; Chen JH; Zhang H; Li XF; Zhou YH; Liao HL; Sun SN; Yang ZQ; Ni SH; Lu L,2025,nutritional,Epigenetic aging,0.6358,200,Unspecified,40505553
Oliveira EA; Milite S; Fernandez-Mateos J; Cresswell GD; Yara-Romero E; Vlachogiannis G; Chen B; James CT; Patruno L; Ascolani G; Acar A; Heide T; Spiteri I; Graudenzi A; Caravagna G; Bertotti A; Graham TA; Magnani L; Valeri N; Sottoriva A,2025,nutritional,Other epigenetic marker,0.3,200,Unspecified,40499006
Pan JH; Kim JK; Lee K; Le BL; Lee JA; Trudo SP,2025,nutritional,Other epigenetic marker,0.3,25,Unspecified,40467247
Li J; Wang S,2025,nutritional,DNA methylation,0.95,83,Unspecified,40435135
Esparza M; El Zahed SS; Karakus U; Niederstrasser H; Gao B; Batten K; Shay JW; Posner B; Hirsch FR; Girard L; Huang LJ-s; Minna J; García-Sastre A; Fontoura BMA,2025,nutritional,Other epigenetic marker,0.3,200,Unspecified,40434103
Sen U,2025,nutritional,Other epigenetic marker,0.3,200,Unspecified,40409520
Thakur R; Xu M; Sowards H; Yon J; Jessop L; Myers T; Zhang T; Chari R; Long E; Rehling T; Hennessey R; Funderburk K; Yin J; Machiela MJ; Johnson ME; Wells AD; Chesi A; Grant SFA; Iles MM; Landi MT; Law MH; Melanoma Meta-Analysis Consortium; Choi J; Brown KM,2025,nutritional,DNA methylation,0.3,200,Unspecified,40409268
Philibert R; Beach SRH; Mills JA; Dawes K; Hoffman RM; Sieren JC; Froehlich EM; deBlois KM; Long JD,2025,nutritional,DNA methylation,0.3,92,Unspecified,40402951
Zhou S; Yu L; Zhao J; Xiao Q; Sun J; Wang L; Zhou Y; Lu Y; Dunlop MG; Theodoratou E; Zhang H; Ding K; Li X,2025,nutritional,DNA methylation,0.3,200,Unspecified,40301858
Chen CH; Chen CC; Chen XX; Chang WS; Tsai CW; Mong MC; Hsu SW; Bau DT,2025,nutritional,DNA methylation,0.95,52,Unspecified,40295056
Sunnetci-Akkoyunlu D; Ugurtas C; Kulcu-Sarikaya N; Ozer T; Cine N; Eren-Keskin S; Kanli A; Savli H,2025,nutritional,miRNA,0.3,200,Unspecified,40294979
Frankhouser DE; DeWees T; Snodgrass IF; Cole RM; Steck S; Thomas D; Kalu C; Belury MA; Clinton SK; Newman JW; Yee LD,2025,nutritional,DNA methylation,0.95,51,Unspecified,40288580
Lin CH; Hung PH; Chang CH; Chang H; Chung MC; Chang WC; Chung CJ,2025,behavioural,DNA methylation,0.3,200,Unspecified,40285850
Chigvinadze N; Pantsulaia I; Lejava T; Aladashvili A; Atamashvili T; Khvichia N; Rekhviashvili K,2025,behavioural,Other epigenetic marker,0.3,40,Unspecified,40281443
Bourassa KJ; Anderson L; Woolson S; Dennis PA; Garrett ME; Hair L; Dennis M; Sugden K; Williams B; Houts R; Calhoun PS; Naylor JC; Ashley-Koch AE; Beckham JC; Caspi A; Taylor GA; Hall KS; Moffitt TE; Kimbrel NA,2025,behavioural,Other epigenetic marker,0.95,200,Unspecified,40259495
Conner R; Porter C; Lutrick K; Beitel SC; Hollister J; Healy O; Kern KJ; Wardenaar F; Gulotta JJ; Jack K; Huentelman M; Burgess JL; Furlong M,2025,nutritional,Epigenetic aging,0.3,200,Unspecified,40239196
Trujillo-Fernández YGV; Rodríguez-Torres DE; Tovar-Jácome CJ; Barros-Núñez P; Godínez-Rodríguez MY; Pérez-Bojórquez PJ; Flores-Martínez LA; Pineda-Razo TD; Marín-Contreras ME; Alcaraz-Wong AA; Mariscal-Ramirez I; Rosales-Reynoso MA,2025,behavioural,miRNA,0.95,557,Unspecified,40235333
Niu S; Ma J; Liu S; Li Y; Yue X; Pan M; Song L; Wu Y; Yang Z; Tan Y; Gu L; Wang C; Chang J,2025,nutritional,Chromatin remodeling,0.2,200,Unspecified,40228145
Huang H; Ding C; Zhao WH; Zhang HB; Zhao ZX; Li XG; Wang YJ; Chen PJ; Li BS; Li XB; Li YW; Liu HY; Chen J,2025,behavioural,Chromatin remodeling,0.3,200,Unspecified,40169782
Lorenzo PM; Izquierdo AG; Rodriguez-Carnero G; Costa-Fraga N; Díaz-Lagares A; Porca C; de Luis D; Tejera C; De Paz L; Cueva J; Bellido D; Crujeiras AB,2025,nutritional,DNA methylation,0.3,10,Unspecified,40140215
Nirgude S; Tichy ED; Liu Z; Kavari SL; Pradieu RD; Byrne M; Yang F; Gil-de-Gómez L; Mamou B; Bernt KM; Yang W; MacFarland S; Xie M; Kalish JM,2025,nutritional,DNA methylation,0.3,200,Unspecified,40133415
Neves Rebello Alves L; Merigueti LP; Casotti MC; Cancian de Araújo B; Silva Dos Reis Trabach R; Batitucci MDCP; Meira DD; de Paula F; de Vargas Wolfgramm Dos Santos E; Louro ID,2025,nutritional,Other epigenetic marker,0.3,200,Unspecified,40122508
Hotoboc IE; Fudulu A; Huica I; Iancu IV; Grigore R; Bertesteanu ȘVG; Bleotu C; Anton G; Botezatu A,2025,nutritional,DNA methylation,0.3,24,Unspecified,40116629
Mendy A; Mersha TB,2025,nutritional,Epigenetic aging,0.3,2105,Unspecified,40095187
Pragasam AK; Maurya S; Jain K; Pal S; Raja C; Yadav R; Kumar S; Purohit A; Pradhan D; Kajal K; Talukdar D; Singh AN; Verma J; Jana P; Rawat S; Kshetrapal P; Krishna A; Kumar S; Bansal VK; Das B; Srikanth CV; Garg PK,2025,nutritional,Other epigenetic marker,0.3,200,Unspecified,40074067
Das S; Thakur S; Cahais V; Virard F; Claeys L; Renard C; Cuenin C; Cros MP; Keïta S; Venuti A; Sirand C; Ghantous A; Herceg Z; Korenjak M; Zavadil J,2025,behavioural,DNA methylation,0.3,200,Unspecified,40056068
